,reviewtext,Rooms,Location,Cleanliness,Checkin,Service
17,"Wedded Bliss I was getting married at a local mansion, Castillo Serralles about 15 minutes away and felt this would be the best place to host my guests, and did not regret it.We started planning our wedding in March and had continious communication with Enid Montes in customer service. She is by far one of the most helpful persons there. She ensured that our guests got the best accomidations, and catered to their every need. She was also helpful in getting a limo two days before our wedding, and gave wonderful recommendations for local venues.The day of my wedding they allowed me to check into my room in the morning in order to relax and get ready for the chaotic day. My husband and I booked a spa day the day before and the girls at the spa are AMAZING. Gladys and Carla were so friendly and did a wonderful job. On the day of my wedding my stylist cancelled and Gladys was able to acommodate me the morning of the wedding.The room service was a bit slow, but I understood the hotel was hosting two conventions that weekend..so I was not disturbed.In terms of the appearance....I LOVED IT. The pool is open 24 hours a day, and each pool is clean and enough to host children and adults alike. True indeed once you leave the facilities it's not as picturesque as you'd like it to be but in all my travels I've encountered the same experience. I will say that my non Spanish speaking guests were able to get to hotel quickly because it is right off of Highway 2.My husband and I have decided that whenever we go to the enchanted island of Puerto Rico we will have to stay at least one night at the Ponce Hilton. We love it and would recommend the hotel to everyone.",,,1.0,1.0,1.0
18,"Best hotel in the area I have stayed at this hotel at least 15 times and finally decided to write a review. This is nicest hotel in the area. Nice pool area . The beach area is nothing to write home about. After you leave the hotel beach area, the walk along the beach to the city park is nothing more than a garbage dump. I have always stayed on business. The executive lounge area room is a great benefit if you are Hilton Honors Gold. Free internet ,free snacks etc. Rooms are above average.The rooms in the Tower are newer but more walking.self parking only 4.50. Be prepared for slow service in the resturant for dinner. I usually go to the bar for a smaller menu and faster service. All the common areas are non smoking.Slow service in resturants is typical in Puerto Rico.",1.0,,-1.0,,-1.0
19,"I'll be back!!! This past July, we hotel hopped, Stayed in Fajardo, Isla Verde, and Ponce. Staying in Ponce allowed us to visit the central part of the Island (many mountains and incredibly beautiful) wich was only about half hour away. The northern part of Island was about 1 hour away and the West coast 30-45 min drive. We had never stayed at the Hilton, reading the reviews here helped us decide to risk it. Well worth it. Unfortunately, We only spent evenings and mornings there and did not enjoy the facilities enough. The next time down, we will spend more time at the hotel.The rooms were clean, neat and a sort of modern decor. The open lobby invites you to stay and enjoy the ocean breeze. The lower lobby restaurant, seemed to have a formal or semi formal setting, I'll try it next time. Pool was very spacious, many palm trees, and alot of facilities for the kids . Parking is extensive and the casino is entertaining and inexpensive . Staff couldn't be any friendlier. The beach is not good for swimming, but hey, 15-30 min away, you have many beautiful beaches.About 5 minutes south of the hotel is a place called La Guancha they have typical food and music. A beatiufl sunset there (currently my computer's background). The concierge gave us a map of Ponce, we visited downtown. Very historical; the architectural landscape was unbelievable, took some great pictures. People very friendly, a cop on every corner. Ck out the Fire Station, and have an Ice Cream at a store right in front of the fire station..... I had a coconut one and it was reallll gooodCan't wait to re-visit!!!",1.0,1.0,1.0,1.0,-1.0
20,"Best holiday value getaway with super weather Have spent the last 3 Xmas vacations there and going back for the 4th time Dec 2007. Best weather on the island as it seldom rains on this side of the mountains. An easy drive 90 minutes from San Juan. They don't raise their rates during the holidays. Very nice rooms, beautifully landscaped pool area, beach is fair. Good restaurants in Ponce but a little tricky to find your way around downtown. Very nice golf course with 27 holes and very reasonable rates (less than half the golf rates in San Juan). Best value you can find during the holidays.",1.0,1.0,,,
21,"Nice, clean Good rate on hotwire, not a bad place. Nothing much around it though, kind of isolated. Decent hotel, exotic looking pool. not bad.",,,1.0,,
22,"Clean and spotless Our family of 5 stayed here June 6-7. After roughing it for 2 weeks throughout PR and Vieques at relatives bungalows and guest houses, we needed a place with good mattresses, hot water, and cable TV at night. We were pleasantly surprised. The room was spotless and VERY clean. The shower was great. We picked this place because we wanted to enjoy the hotel room and its grounds. We would not be venturing out since we had been out exploring for 2 weeks and just wanted to relax in nice surroundings. (We explored Ponce years ago and that was great too.) We liked the fact that there were no pesky mosquitoes around the grounds. We took the 5 minute shuttle to the golf club pool - it was great too. The only down side was the beach was not a swimming beach. But we were beached out by the time we got there so just having that spectacular oceanview was so peaceful. We had a balcony room. Let me also mention that we arrived at about 7:30 a.m. from western PR and our room was available. Very nice.",1.0,,1.0,,
23,"Very Nice Hotel and friendly staff We stayed in the executive tower with access to executive room, you pay a little extra but get more value. Free breakfast, happy hour, deserts, fruits ect. Use of computers and express check out. Staff was friendly and helpful. Facility was nice and beach was good. Enjoyed our stay.",1.0,,,1.0,1.0
24,"great place great hotel with beautiful golf facilities...we really enjoyed our stay. My wife loved the beach and the spa facilities, The food and the restaurants were the Best in town.For a relaxing vacation or a visit with the family this place has it all. I also saw a wedding celebration at the pool and it seems that they also cater for special events and banquets and groups.we will be back for valentines day and spend another romantic get away..",,,,,1.0
25,"Absolutely terrible! We stayed here in August 2006 and this is one of the worst hotels we have ever stayed at. The rooms, furniture and appliances were so old that we thought we were in a motel off of a small highway. The food was so-so but the restaurant service was absolutely terrible. We were absolutely unimpressed!",-1.0,,,,-1.0
26,"A Pleasant Surprise We stayed at this resort for three days, and we liked our clean room with a very comfortable bed. The facilities are very well maintained and the staff could not have been friendlier. There did seem to be a tendency to nickel and dime you and the restaurants can be pricey. There are more than enough pool and beach chairs to go around and there are tennis courts and other activities for the guest who wants to be active. The beach is not the greatest because it is quite stony, but if you can get by this, it is a great place to stay. You are near the city and also Route 2 where the major shopping mall is, but you are still far enough away from every day life to hide out if that is what you want. We would definitely stay here again.",1.0,1.0,1.0,,-1.0
27,"Hilton is only feasible option in Ponce My wife and son spent 3 days at the Ponce Hilton after having been there earlier this year in February. No the beach there is not the greatest (we reasearched in advance and knew to drive the half hour west to the Guanica region for higher quality beaches) and no the food there is not worth the cost (we researched and knew the local authentic restaurants in Ponce, Salinas and Guayanilla to go to), BUT if you want a clean room (stay only in the newer-constructed Executive Tower-pay the extra $10-$20 willingly), attractive resort-style facility with rates less than you'll pay at the north coast resorts, it is the ONLY place worth staying in Ponce. The adjacent Caribe golf course is a newer 27-hole track with 2 holes oceanside (#18  #27) relatively flat, and unchallenging, unless the winds are up. If you don't want to venture out for dinner the Italian restaurant at the golf clubhouse is your best option (tip: plus the pool there, while smaller, is nicer and less crowded).",1.0,,1.0,,
28,"A Nice Place This is a nice hotel. We got a great deal on a full suite with two rooms for four of us. Overall service was great. Room service was rediculously slow, but otherwise loved the hotel.",1.0,,,,1.0
29,"Okay But If You Want a Nice Beach This Is Not It. I booked Hotel on Priceline. We got the room for $122.00 not bad for a resort. We normally stay in isla verde right next to San Juan. My family is near Maniti, Puerto Rico. This time we wanted to try something different. We were told ponce is beautiful. Let me say dont even bother checking out ponce waste of time. Very dry like dessert and dirty. The beach at the Hilton is horrible. We were told beach is black because the rivers empty out into that area. Very ugly beach. The resort is nice. Basketball, ping pong, tennis, nice pool, food on resort very expensive I guess thats why the Hiltons have money and I dont. Also after you pay for room. When you arrive and than check out you have on your bill $7.00 a day resort fee, $4.50 a day for parking or $10.00 a day for valet parking not including tips. And $9.95 a day if you want internet access. So it adds up pretty quickly. Overall nice Hotel. I would stay again but since its in ponce I guess that wont happen.",,-1.0,-1.0,-1.0,
30,"Can't wait to go back We stayed at the Ponce Hilton for 3 nights. I have no complaints regarding the property. The check-in process was flawless and the room was nice and clean. The first night we went to the boardwalk to eat. The drive took only 5 minutes. The next day we went to the town center for a tour, that was only a 10-15 minute drive away. Everything was very close with a rental car and the resort is nice enough to relax onsite during your entire stay. The food is pricey of course, but that's what you should expect at a resort. We never had to walk from the parking area to the hotel, since they always had a person waiting with a golf cart to give us a ride. We enjoyed the live music on Saturday and the quietness on Sunday. The beach isn't the best but we didn't spend time there anyway. Also be sure to take advantage of the (free) bicycles to tour the property and the 2 basketball courts for exercise. The gym was small but sufficient for vacation needs. We wouldn't hesistate to stay again.",1.0,1.0,1.0,1.0,1.0
31,"Not rally a great experience! I stayed here mostly so my husband could use the Casino. The staff was friendly but the prices they charge for food, etc. very expensive - it is really for business people on an expense account. Breakfast started at $10. and dinner was ridiculous. They pretty much know they have you captured. Did go into Ponce but did not really feel safe and thank god we were only here for 2 nights because beside the fire station there is really nothing to see.Pool was smaller than it appeared in pictures and the beach was nothing to write home about. We would not stay here again. If you have any questions i would be happy to answer them.",,,,,1.0
32,"Relaxing,and Pretty! I really enjoyed this hotel.I mean it was nothing so special, but it was just low-key and relaxing. The lobby was open and airy, the pool area had so many palm trees, it wasn't too crowded so we were really able to have our own spot.I accidentally dropped my necklace between the deck. I mentioned it the waiter and told him it wasn't a big deal it was my own fault or wearing a necklace to the pool. But within 10 minutes there were 2 guys taking the deck apart.Quick and efficient. The rooms weren't too bad either. They could be updated a little. But they were clean, smelled good,were open and airy. We had one of the best rooms in my opinion. Make sure to get the ground floor, we had room 131. It is great because our sliders opened up right to an awesome view if the Carribean, with the pool to our right. Free breakfast, good selection. Free entrance to the clubs on premises, fun Salsa dancing.The sports bar by the pool has a decent burger and chicken ceaser salad too. They also have Corona lights which are hard to get in most places in the U.S.",1.0,1.0,1.0,,1.0
33,"Very nice resort and golf course We flew into San Juan and rented a car from Payless . they forced me to take CDW even though I showed them my NYS insurance card. (Check this out with your car co.)We drove to Ponce 1.5 hour pleasant drive thru mountains.I played 3 rounds of golf. The course is attractive and interesting but not memorable. No problem for a bogy golfer if you can stay out of the ponds. Holes #9 ,18 and 27 end on the ocean otherwise there are no other oceanviews.Food was not great . Sat night was an excellent pig roast with local specialties. Other buffet meals were not up to par.But if you are a big eater you will get your moneys worth.Wine list was expensive starting at $44. But if asked they offered a decent 'off the list wine' for $27Our best meal was 'Marks at the Melia' in Ponce. We went there once but if we had more time we would have gone back more.'Pitos' on the ocean wes also great for lunch. you can drive to Pitos,otherwise take a cab into the Ponce area unless you like to drive around lost and clueless in seedy enviorns.We drove to the famous Rain forest . Not worth the 5+ hour round trip in NYC style traffic. Shoud be OK from San Juan.Overall I agree with the positive reviews here.",1.0,1.0,,,-1.0
34,Glamour in the south! Ended up in the southern part of the island escaping cold winds in the north. Very ritzy hotel for this small city and enjoyed our stay of one night (2/17/05). Big open air lobby and large pool; black sand beach but water clear when observed from a distance. Interesting walk to the channel and boardwalk. Ponce almost European in atmosphere-and very cultural-lots of museums.Food and service OK; staff spoke English as well as we did! Enjoyed our stay!,,,,,1.0
35,Great location I arrived at the hotel after a 15 minute ride from the airport at 9:30am. Much to my suprise my room was ready.The room was spacious with a flat screen multi channel tv.The bath large and had a nice kit. Towels were soft with a gant de bain. I had a garden room so there was not street noise.The location was excellent (Ramblas). I got tour bus tickets at the desk and it was a short walk to the bus stop. The tour bus line lets you on and off as often as you like at points of interest.Great restaurants are nearby.,1.0,1.0,,,
36,"Great Location We stayed here for a 4 night city break over New Year 2008/09 on room only basis.The location of the hotel is excellent, being on La Ramblas which is in the centre of the main tourist area and only a couple of hundred metres from the airport bus stop in Pl Catalunya.From the outside the hotel is very clean and well kept and this impression continued inside. Reception was efficient and the staff had a good command of English which is always a help. Our rooms were ground floor at the rear which meant that they were very quiet (La Ramblas is very noisy and I think that front facing rooms might suffer because of this). Being ground floor they also had small terraces which looked a bit claustrophobic but might be OK for a bit of shady peace in the summer.The rooms were fairly standard with twin beds, TV, minibar, bath/shower etc. (but no kettle!). Again these were well kept, clean and reasonably comfortable.We didn't eat in the hotel at all so I can't comment on the food but there are plenty of cafes and restuarants in the area (tip - don't eat in La Ramblas itself but go a couple of streets either side for much better value).The only down side I have for this hotel is that it is very expensive. We wanted a central hotel and accepted that we would have to pay a premium for this. Next time, now that I know my way around Barcelona, I would consider staying further out as the savings on hotel bills would (probably) more than cover bus/metro/taxi fares in and out.",1.0,1.0,1.0,,1.0
37,"Great location, friendly staff Stayed here with husband  2 children and our friends with their 2 children. Location was excellent, our friends had rooms overlooking the courtyard which were very quiet, but our room overlooked the ramblas.We had a very spacious triple and each morning we could watch the street entertainers get ready. Though I agree that it can be quite noisy, but it all adds to the atmosphere and we had no trouble sleeping. One thing to add though about noise is the rumbling you can hear late into the night which is the metro passing by the hotel!!We didnt take the breakfast option and found a wonderful tapas bar. There is never a shortage of places to eat.",1.0,1.0,,,1.0
38,best location Best location! Closest metro stop is only a few steps away. Restaurants and tapa bars surrond you. Carrefour Express is across the street as well as La Bouqueria. This by far was the most convenient. We stayed in a superior room on the 7th floor (708) that had a seating area and a balcony at the back of the hotel. Very quiet and away from the hustle and bustle of La Rambla. Bathroom was modern with chrome fixtures. Hardwood floors and automatic sun blocking window shades. Easy access to aerobus. Beware their elevators are tiny that only 2 people can fit. It's definately a thumbs up!!,1.0,1.0,,,
39,"Good Hotel We spent three nights at this hotel in September 2008, and thought it was great. Our room, a triple, was more like a suite with a bedroom and living room/daybed for the third guest. The decorations are very modern-black bathtub, brown velvet bedspreads--but cool and tasteful. The location of the hotel (on the nicer part of La Ramba) is very convenient, and as we had a room overlooking the courtyard, there was no problem with noise. Breakfast each morning had a large selection, including some hot foods (eggs, omlettes), and it was served outside in the charming garden. I would definitely stay at this hotel again.",1.0,1.0,,,1.0
40,"We liked the Ramblas a lot We were at the Rivoli Rambla three nights last week, and would stay there again. The location can't be beat, right on the Rambla, a two minute walk to the central square where buses leave for the AP every ten minutes or so. The room we were in faced onto the Courtyard, which we requested because it was so quiet. The rooms opening out to the Rambla are great for atmosphere, but believe me, Barcelona folk don't go to sleep at night, and the street noise is considerable. The room we were in was very well appointed, the bathroom great. The TV was minimal, to say the least, but it did bring in Sky News, and we weren't in the room that long, anyway. The breakfast was included in our deal, and was excellent. Not worth $30 bucks apiece, if we were paying extra for it, but what breakfast is? If breakfast is not included in your deal, there are lots of cheaper eating places around. BUT, Barcelona is expensive. I confess we ate at the McDonalds on the Rambla one evening, a McDonalds fish sandwich, fries and a coke, and the tab was $9 bucks APIECE. But this is a vote for the Rivoli Rambla, with a special note about the friendliness of the woman on the front desk.",1.0,1.0,,,1.0
41,"Ultra Modern Comfort in the Heart of Barcelona Excuse the belated review!We had a wonderful stay at this hotel.The room was a comfortable size and super-modern, with a flat screen TV, polished wooden floors, impressive attention to detail throughout and my personal favorite - remote control operated blinds (very cool!) It should be noted that there are two wings in the hotel, the modern wing and the traditional wing - I strongly suggest you opt for the modern rooms as traditional appeared to be a flowery way of saying in need of a refurb!You are right in the heart of it all here, with the infamous Las Ramblas on your doorstep - thus quality restuarants, bars and great shopping are never more than a stones throw away.Highly recommended for a short city break.",1.0,,,,
42,Fab Location This hotel would have the best location - on the Ramblas - centre of all restaurants and bars - short walk to the harbour - fab vibe all day and night - that's the only problem all night!!! No double glazed windows here - and the Barcelona vibe goes all night - and you do want to get some sleep - even in Barcelona. Strange thing - the hotel has a bar - but I didn't see it open once during my six night stay. Would recommend as long as you take ear plugs.,1.0,1.0,,,
43,"Perfect location, nice hotel Just come back from a 4 night break in Barcelona staying at the Rivoli Ramblas. The hotel is a 4*. The room was ready on arrival and was very large with a huge balcony with table and chairs. The bathroom was also very big. The room was clean and had everything we needed. However, I did think that it was rather expensive at 120 euros per night, although I suppose you have to remember that this is in a city on the main street in Barcelona. The location was excellent - right on la Ramblas, so everything was nearby. The room was cleaned daily. We did not eat at the hotel as there as so many places to choose from nearby. We did get a coffee in the bar just before we were leaving and I must say that the bar man was incredibly rude - didn't say one word to us at all. The receptionists were helpful and friendly and spoke excellent English, which always helps when your Spanish is not great!!All in all, a good choice of hotel with a perfect location that is paid for with the room rates.",1.0,1.0,1.0,1.0,1.0
44,"Location, Location, Location Just got back from the Rivoli Ramblas, i stayed here for 3 nights, in a triple room. i had a nice time at the hotel, got checked in within 2 minutes and was impressed with the front desk staff, they were really helpful and had a good laugh! The room was great,i t wasnt huge but three people managed to stay init, for 3 nights and not fall out!! However the bathroom wasl one of the nicest ive ever seen, water was hot and shower very powerfull, so what more do you need.The location is fantastic literally 2 minutes walk from plaza catalunya, it did make it quite loud at night and in the mornin but not too much to keep you awake, unless you are a light sleeper!!To round up, if you want a great hotel at a great price, choose the rivoli ramblas, im definately going to again!",1.0,1.0,,1.0,1.0
45,"Good Base Hotel Great location to get around main attractions of Barcelona. Reception staff very helpful. Found room for 2 adults and 7 year old child quite cramped but functional. Down side is the noise level in hotel, not from traffic/street noise but walls very thin between rooms so if your a light sleeper be prepared to be woken early! Worth booking breakfast option. Found easyjet.hotels the cheapest site to book accommodation.",-1.0,-1.0,,,1.0
46,"Right in the heart of it all Myself and my Husband had a mid week break for our annniversary and it was worth spending that little bit extra for a nice hotel. The staff aren't very friendly but we found that staff in general in Barcelona aren't very friendly.The rooms are very spacious and the bed was really comfy. We chose to have a room at the front of the hotel and our room overlooked Las Ramblas. It was great to sit there in the morning watching the world pass by and the street entertainers setting up for the day, but it could be quite noisy at night as the bin men come round about midnight.The breakfast was really nice and loads of choice ranging from breads, pastries, cold meats, fresh fruit and juices but the hot food wasn't up to much and could be sat in the hot well for up to 4 hours.If you're planning a drinking weekend then make sure you take loads of money you can't get 2 drinks for less than 10 Euros. In one bar we paid nearly 5 for a bottle of Becks.",1.0,1.0,,,-1.0
47,"Location, Location, Location We stayed in the hotel during July 2007. Location is just great - right in the center of everything - 2 minutes walk to the underground, a convenient supermarket across the street, many worthwhile sites in walking distance. Walking into the lobby may be a little dissapointing (I was fearing the worst), but luckily the first impression was quickly dispersed. We stayed in a standard room on the 3rd floor facing La Rambla, and it can get a little noisy at night. Rooms are fairly spacious and clean - cabinet storage space was somewhat limited. The breakfast buffet is nicely done (apart from the scrambled eggs) and has a varied selection - do try to get a table outside on the terrace. Hotel claims WiFi throughout, however I had to sit in the lobby in order to connect. All in all the hotel perfectly suited us (2 adults) for a week of sightseeing. 4 Stars for this Hotel are are a little overated though.",1.0,1.0,1.0,,1.0
48,"5 Star in Attitude Only I was traveling with a friend who feels if the hotel is marked with stars it is worthy enough for her to stay there. I prefer apartments or BB's. We booked an apartment in Amsterdam so I compromised in Barcelona and boy am I sad I did.The room was very small, the non-opening window provided a view of the backs of some sublimely uninteresting walls, and the service was aloof. Felt like I was intruding when I asked the desk staff for anything. Not one of them knows how to smile. I always hear the French hate Americans and are very rude, but the Spanish have them beat by a landslide.There was a bidet, but being American I have no idea what to use it for when there was a perfectly good shower/tub right next to it. The location on La Rambla is nice. The towels were fluffy. But neither of those justify the price of a multi-star hotel.",-1.0,1.0,,,-1.0
